id,x,y,size,frame,track,ignore,track_fixed
6,630.1939379004435,206.1338097585017,4058,27,4,TRUE,4
1,386.7974261201144,482.56339370829363,2098,28,1,TRUE,1
2,667.1177863273158,467.3835454276413,3379,28,3,FALSE,4
3,494.0066225165563,414.1754966887417,2718,28,2,TRUE,2
4,532.6557649667405,363.3475609756098,1804,28,7,TRUE,7
5,260.59965034965035,297.5611888111888,572,28,5,TRUE,5
6,624.0110974106042,197.71689272503082,4055,28,4,TRUE,4
1,668.4998523767346,472.1369943903159,3387,29,3,FALSE,4
2,386.2939481268011,481.88424591738715,2082,29,1,TRUE,1
3,493.3467889908257,411.6675229357798,2725,29,2,TRUE,2
4,534.6017847183491,361.0568878973787,1793,29,7,TRUE,7
5,273.34170854271355,299.7403685092127,597,29,5,TRUE,5
6,614.3230503455084,190.5567620927937,4052,29,4,TRUE,4
1,669.4410983170948,477.26365515205197,3387,30,3,FALSE,4
2,385.32070949185044,481.2698945349952,2086,30,1,TRUE,1
3,492.9702205882353,409.19227941176473,2720,30,2,TRUE,2
4,536.5835176991151,358.18307522123894,1808,30,7,TRUE,7
5,279.6627118644068,311.41016949152544,590,30,5,TRUE,5
6,602.9055762081784,185.84287484510534,4035,30,4,TRUE,4
1,671.173695075199,481.9365968740784,3391,31,3,FALSE,4
2,383.5667938931298,480.8520992366412,2096,31,1,TRUE,1
3,492.96720116618076,406.4733965014577,2744,31,2,TRUE,2
4,537.9090410958904,355.5364383561644,1825,31,7,TRUE,7
5,274.3131313131313,323.33838383838383,594,31,5,TRUE,5
6,590.6628741033886,184.2728172149394,4043,31,4,TRUE,4
1,672.5483679525222,486.77655786350147,3370,32,3,FALSE,4
2,381.5433221637147,480.89755864049783,2089,32,1,TRUE,1
3,493.03688823959095,403.88970051132213,2738,32,2,TRUE,2
4,538.6181123840698,353.02891434806327,1833,32,7,TRUE,7
5,261.8367697594502,326.6993127147766,582,32,5,TRUE,5
6,578.6248756218905,185.6820895522388,4020,32,4,TRUE,4
1,673.3561278863233,492.08940201302545,3378,33,3,FALSE,4
2,379.5740472744814,481.858658948384,2073,33,1,TRUE,1
3,493.3389335281227,401.554419284149,2738,33,2,TRUE,2
4,538.6941694169417,350.25192519251925,1818,33,7,TRUE,7
5,251.5472027972028,318.4475524475524,572,33,5,TRUE,5
6,567.2743142144639,190.95910224438902,4010,33,4,TRUE,4
1,674.2364502680167,497.6527695056581,3358,34,3,FALSE,4
2,377.9263862332696,481.81883365200764,2092,34,1,TRUE,1
3,493.556204379562,399.11678832116786,2740,34,2,TRUE,2
4,538.2082417582418,347.960989010989,1820,34,7,TRUE,7
5,252.39896373056996,304.7685664939551,579,34,5,TRUE,5
6,557.6537409893115,198.7037037037037,4023,34,4,TRUE,4
1,674.3117192147531,502.87061273051756,3362,35,3,FALSE,4
2,375.70949185043145,482.09827420901246,2086,35,1,TRUE,1
3,494.06197593875316,396.7502734232592,2743,35,2,TRUE,2
4,536.9438635112823,346.04512933406716,1817,35,7,TRUE,7
5,263.2730434782609,297.45217391304345,575,35,5,TRUE,5
6,551.1350681536555,209.6275092936803,4035,35,4,TRUE,4
1,675.3783702816057,507.6473936488916,3338,36,3,FALSE,4
2,373.7894230769231,482.3024038461538,2080,36,1,TRUE,1
3,494.76777251184836,394.4418519868757,2743,36,2,TRUE,2
4,535.2666666666667,344.499173553719,1815,36,7,TRUE,7
5,275.0491525423729,301.6864406779661,590,36,5,TRUE,5
6,548.5192164641705,221.20654599553683,4033,36,4,TRUE,4
1,676.2432677760968,512.6341906202723,3305,37,3,FALSE,4
2,372.1604406130268,483.19300766283527,2088,37,1,TRUE,1
3,495.55975073313783,392.08870967741933,2728,37,2,TRUE,2
4,533.05,343.660989010989,1820,37,7,TRUE,7
5,279.0740740740741,314.36531986531986,594,37,5,TRUE,5
6,548.55393369619,232.0205343889164,4042,37,4,TRUE,4
1,677.4469375379017,515.9542146755609,3298,38,3,FALSE,4
2,372.9639297579497,483.1447555766493,2107,38,1,TRUE,1
3,496.427684441198,389.8436815193572,2738,38,2,TRUE,2
4,530.7019758507136,343.6251372118551,1822,38,7,TRUE,7
