id,x,y,size,frame,track,ignore,track_fixed
4,533.0526638089406,325.7464788732394,1633,42,1,TRUE,1
5,634.8438368860055,242.43790546802595,2158,42,2,FALSE,5
4,535.6160822249093,325.80894800483674,1654,43,1,TRUE,1
5,633.3018955154878,230.18492834026816,2163,43,2,FALSE,5
4,536.7623206487835,326.085464753587,1603,44,1,TRUE,1
5,628.9628198937711,218.6697247706422,2071,44,2,FALSE,5
4,539.5088050314465,327.1805031446541,1590,45,1,TRUE,1
5,621.9298928919183,208.70837390457643,2054,45,2,FALSE,5
4,541.4557416267943,328.28528708133973,1672,46,1,TRUE,1
5,611.2552083333334,201.5776515151515,2112,46,2,FALSE,5
4,543.1988454137268,328.0602950609365,1559,47,1,TRUE,1
5,598.9084692267228,196.83955812730142,1901,47,2,FALSE,5
4,544.3441636582431,329.53489771359807,1662,48,1,TRUE,1
5,586.5734098517456,197.5327594452415,2091,48,2,FALSE,5
4,545.7099514563107,328.99150485436894,1648,49,1,TRUE,1
5,573.7494969818913,200.0241448692153,1988,49,2,FALSE,5
4,547.2002449479486,329.7348438456828,1633,50,1,TRUE,1
5,562.7109187109187,207.43049543049543,2079,50,2,FALSE,5
4,549.035294117647,330.3139318885449,1615,51,1,TRUE,1
5,553.6765564202335,216.89348249027236,2056,51,2,FALSE,5
4,550.0895705521473,332.3717791411043,1630,52,1,TRUE,1
5,548.2418670438473,228.28241395568128,2121,52,2,FALSE,5
4,551.1534263189812,336.61491813220135,1649,53,1,TRUE,1
5,544.9253092293054,240.06898192197906,2102,53,2,FALSE,5
4,556.9382716049382,339.1024691358025,1620,54,1,TRUE,1
5,544.7972508591065,252.29111438389788,2037,54,2,FALSE,5
4,562.1524800979792,337.50459277403553,1633,55,1,TRUE,1
5,548.8126195028681,262.1534416826004,2092,55,2,FALSE,5
4,567.1351851851852,337.7783950617284,1620,56,1,TRUE,1
5,556.0389671361503,270.2037558685446,2130,56,2,FALSE,5
4,573.3422619047619,340.18869047619046,1680,57,1,TRUE,1
